region,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Niger,323008.1967,333983.7022,346185.6121,359015.3306,372711.0757,386900.8167,402081.024,418261.5449,435463.4132,453494.5884
Nigeria,4663639.891,4836852.976,4996660.843,5136064.275,5261328.628,5367597.228,5458080.377,5530284.69,5587647.955,5625918.183
North Korea,812910.1755,823951.2995,834463.0584,845183.2429,855357.7235,865216.7063,875308.5795,885409.5014,895541.9522,905332.4578
Northern Ireland,81066.25798,81690.18712,82256.90424,82633.96006,82852.52384,82905.35635,82817.96351,82569.89062,82177.45218,81687.94048
Northern Mariana Islands,1706.123197,1690.692742,1666.161683,1637.544867,1608.861507,1587.375081,1575.949499,1574.444438,1574.983328,1571.090779
Norway,179440.5398,181117.3252,183363.4719,186158.4074,189325.7258,192790.0035,196533.4426,200585.5294,204837.7105,209256.9194
Oceania,257085.7098,265130.1132,273112.6556,280955.0904,288761.8414,296480.9116,304002.2551,311677.457,319221.0611,326510.9567
Oman,81622.24605,84280.44485,90417.87892,103870.4949,120389.7486,129506.9753,134090.1384,140573.4968,150196.7771,156142.5637
Pakistan,4322695.203,4395896.434,4503973.881,4641111.538,4785358.992,4936622.267,5096017.208,5262645.996,5437425.896,5631724.393
Palestine,147878.7362,152406.9302,157005.6036,161637.2598,166034.7965,170355.206,174518.6849,178475.4938,182372.4254,186004.6233
Panama,83149.44902,84789.8472,86626.52597,88636.58798,90584.82042,92600.78945,94653.12331,96795.20909,98883.97752,101182.8889
Papua New Guinea,175340.1358,182064.9581,188799.8817,195453.609,202142.0973,208750.2968,215200.5994,221787.5368,228248.4714,234476.0244
Paraguay,152734.217,156719.3439,160630.5507,164651.6269,168731.9341,172804.8625,176819.727,180863.8088,184952.271,189017.7755
Peru,587797.5338,596902.6154,607426.044,619843.2538,633923.1767,650723.8175,667164.0358,682798.9897,696980.024,713501.718
Philippines,2085317.985,2138678.709,2190087.977,2239028.575,2285832.197,2331412.363,2376910.91,2421727.017,2467027.726,2514837.706
Poland,1016964.149,1021426.006,1025652.426,1028182.847,1030929.325,1032362.032,1033086.543,1034047.158,1033492.255,1033105.113
Portugal,574832.4413,576013.0946,576854.7518,576506.9205,574197.397,570430.4789,565318.2825,558821.9022,551469.4265,542715.6164
Puerto Rico,114441.4353,114530.8408,114866.7853,115264.7026,115577.9991,115880.505,116224.5308,116553.5768,116793.8202,116963.9103
Qatar,50300.88971,58691.33652,67411.38306,74897.71803,80709.72675,85493.79486,89938.71946,94715.58276,100132.9392,105607.4491
Romania,584331.4618,581197.5424,578549.1674,576219.8658,573800.7663,572281.8753,571118.5672,568951.3505,566647.3308,566246.4375
Russia,6346858.901,6314710.894,6298688.707,6293849.503,6295992.226,6298082.482,6301347.992,6308359.44,6320400.197,6339575.843
Rwanda,273486.9525,277309.8572,285344.8348,295626.8937,306515.7405,317502.9929,326448.3813,336228.5044,348131.1655,360492.6148
Saint Lucia,4641.991755,4733.112661,4816.351542,4902.076993,4985.053012,5064.454337,5142.578316,5217.363214,5289.63842,5361.522279
Saint Vincent and the Grenadines,3084.587847,3129.738745,3172.302792,3212.103646,3250.465301,3288.061879,3322.733074,3356.391188,3388.730525,3420.636966
Samoa,4662.323686,4704.406481,4740.94011,4780.264827,4815.081436,4848.137496,4877.825405,4908.370344,4941.109014,4978.838729
Sao Tome and Principe,3850.949914,3945.520029,4048.779596,4162.672975,4283.986057,4410.768118,4545.4201,4686.032677,4836.716534,4995.652047
Saudi Arabia,846219.5123,886585.6128,929592.0742,973854.9811,1018744.638,1065138.105,1112534.705,1159826.373,1208445.925,1257524.865
Scotland,235401.3522,237318.9772,238901.3217,240222.754,241458.3197,242535.6528,243676.1797,244776.4479,245704.7025,246497.028
Senegal,282439.5236,289110.824,296340.8419,304108.059,312311.6276,321080.7995,330819.4905,340956.422,352046.1887,363553.828
Serbia,284293.404,282634.3851,281673.6708,281164.4294,281388.157,281255.0002,279912.6818,279325.0581,278940.4076,278201.4603
Seychelles,2603.673438,2649.504604,2697.893511,2748.718806,2798.284158,2849.632355,2899.318939,2950.264785,3001.841855,3054.947677
Sierra Leone,152178.6809,157563.1963,163015.1097,168656.0665,174405.2766,180585.8866,186730.981,193073.9178,199802.3268,206920.7449
Singapore,169419.2214,172425.2903,176048.6322,179854.831,183243.5996,186444.3496,189671.0415,193576.4774,197521.5827,201022.3966
Slovakia,152885.2543,153189.3885,153653.6114,154065.8099,154447.2714,154793.524,155186.2829,155538.3477,155839.9538,156109.5298
Slovenia,74068.25064,73780.75145,73617.0642,73676.24744,73757.30614,73773.5808,73817.77042,73932.31209,74042.60411,74261.94381
Solomon Islands,12696.33495,13017.38606,13350.26523,13677.33547,14006.32205,14341.46117,14675.52244,15014.93935,15359.67802,15708.76968
Somalia,325904.7189,333880.247,339787.0964,346813.9375,358252.5272,371665.4994,385612.8485,400957.565,417683.4859,433499.6331
South Africa,1700098.574,1714683.065,1733907.55,1759119.811,1786335.286,1815742.263,1847403.988,1881364.268,1918096.653,1958867.729
South Korea,1512478.258,1549350.285,1586324.881,1623457.913,1662736.145,1701244.639,1741774.91,1780771.574,1819487.221,1856657.766
South Sudan,220573.8787,226466.5149,232673.432,240374.4721,248755.1113,249691.2944,247890.3121,243974.8747,242851.9077,250851.0727
Southern Latin America,2182275.802,2205262.215,2232114.478,2261279.723,2290738.887,2319951.972,2349340.665,2378174.52,2406511.48,2435059.932
Spain,1740017.137,1773993.953,1796145.174,1808113.917,1815997.736,1819825.916,1820631.154,1821985.806,1823137.209,1824111.787
Sri Lanka,693022.6166,700433.0028,708139.6768,717076.5098,725988.6106,735098.6377,744492.5714,753988.233,763992.4019,774100.272
Sudan,946009.0859,972045.3337,994653.8542,1018304.592,1045012.066,1073591.276,1104419.122,1137249.065,1169867.15,1202641.494
Suriname,20412.89036,20810.94753,21139.45128,21574.01631,21891.07545,22196.81943,22367.06259,22539.65453,22677.76774,22802.5103
Swaziland,31823.15961,32214.54302,32610.54301,33044.52379,33513.2594,34046.05497,34608.12259,35262.29216,36003.61278,36794.65134
Sweden,452204.9059,456171.2508,459876.2968,463126.4441,466139.1662,469155.6895,472079.7559,474865.0933,477299.9779,479626.4876
Switzerland,328850.4008,330499.2644,332694.4045,335330.7105,338122.4243,341031.9029,343849.9385,346812.601,349655.0086,352501.3472
Syria,615992.4816,629844.2421,643253.6325,643507.4358,615169.1167,583390.4451,564419.1336,554078.0337,562401.4516,579464.3464
Taiwan,781828.9008,797080.0273,811350.2336,825103.2715,837756.1248,849936.1653,861638.0163,872445.3566,883217.1501,892717.1497
Tajikistan,150284.4171,154548.5051,159170.5561,163946.2819,168678.9148,173516.788,178446.4001,183631.5377,188951.744,194363.7681
Tanzania,1088137.942,1114754.213,1145090.984,1178744.364,1214220.226,1251832.066,1291996.342,1334581.219,1379867.676,1426634.146
Thailand,2247554.793,2288941.849,2328919.282,2371811.01,2413712.774,2460415.16,2505986.293,2543816.656,2583554.793,2620623.599
Timor,25519.16147,26213.84128,26954.6962,27721.89342,28479.69761,29230.9569,29982.38389,30771.73816,31560.90126,32388.03223
Togo,157609.1624,162357.9708,167476.1089,172675.0898,177991.8647,183624.7227,189494.1774,195351.2422,201573.5123,208011.6277
Tonga,2512.361722,2527.757363,2543.243409,2557.238305,2569.25035,2578.367714,2586.39374,2594.987138,2603.556625,2614.50378
Trinidad and Tobago,46562.0303,46951.12384,47326.44178,47682.75547,48009.13662,48307.76259,48619.60526,48875.8851,49141.52384,49406.87692
Tropical Latin America,7243412.266,7083744.889,7027737.123,7055478.923,7091093.993,7133133.184,7184055.566,7246879.291,7322311.105,7410500.929
Tunisia,404462.6981,410349.8512,416218.465,422243.3755,428239.4338,434553.3405,440516.1208,446671.4099,452777.5418,459155.572
Turkey,2672221.96,2701676.04,2737619.164,2781119.497,2822855.75,2866220.244,2909369.483,2953433.055,3001927.052,3051619.13
Turkmenistan,113314.0623,114655.3084,116145.456,117719.994,119324.2243,120856.5078,122355.1813,123799.4894,125415.7767,127061.441
Uganda,1053808.076,1067611.182,1086738.855,1109995.536,1134409.118,1159911.467,1187035.57,1215179.689,1244969.458,1276066.957
Ukraine,2425995.613,2384958.397,2357502.164,2340774.038,2324213.041,2306831.823,2290966.946,2273558.606,2253074.224,2235035.96
United Arab Emirates,206794.9674,270700.8188,280939.8908,288884.6051,296078.4733,302888.1634,309333.0104,315682.6647,322287.1497,328741.9896
United Kingdom,2718891.231,2748006.734,2772670.77,2794076.119,2814596.84,2834083.992,2853091.952,2871254.831,2888056.752,2903517.431
United States,14253409.07,14348119.67,14461149.46,14590796.33,14718745.22,14854640.94,15000147.28,15155130.94,15321682.16,15499359.54
